	faith_pd
X15.1	20.348917542
X15.1053	16.989381888999997
X15.1055	16.939727784
X15.1062	20.538159837
X15.1081	14.378669401
X15.1083	18.288365532
X15.1085	21.897258270000002
X15.1086	14.681542814
X15.1091	14.282947492999998
X15.1092	14.504569867999999
X15.1095	20.712875835
X15.1227	23.326715851999996
X15.1231	20.551400362
X15.1239	22.517296247
X15.1245	18.402730332999997
X15.1251	14.291706967000001
X15.1253	11.150639385999998
X15.1254	15.061324412
X15.1255	15.109944267
X15.1256	14.916553146
X15.1261	23.439640215
X15.1262	14.718385495999998
X15.1263	14.703240723
X15.1280	12.562585312
X15.1281	13.401727328999998
X15.15	11.301944598999999
X15.2	12.935157238999999
X15.376	12.162656382000002
X15.487	13.09425058
X15.489	10.215827422
X15.492	10.834549456
X15.515	22.017012871
X15.527	21.061928615
X15.551	22.243320212
X15.696	21.526242469999996
X15.698	19.501586023
X15.7	11.897802231
X15.794	23.982901007000002
X15.848	12.919978541999997
X15.85	22.485665269000002
X15.850	14.950654046
X15.865	17.628981248
X15.909	19.27941477
X15.910	20.817309103999996
X15.920	20.081824978999997
X15.959	19.861217813999996
X15.960	24.894657738999996
XDNA.Neg27	22.800444391
XDNA.Neg4	44.796147819
XPCR.Neg3	51.587370848
XVenFeb16.1007	22.70047774
XVenFeb16.1008	24.522330810999996
XVenFeb16.101	39.292713334
XVenFeb16.1012	40.07708541699999
XVenFeb16.1017	13.119500735999999
XVenFeb16.1021	34.00110559
XVenFeb16.1025	14.650488427
XVenFeb16.1029	22.478113063000002
XVenFeb16.1034	6.3313669500000005
XVenFeb16.1038	33.484885164
XVenFeb16.1043	40.510937447
XVenFeb16.1047	19.286740934
XVenFeb16.105	28.981585032999998
XVenFeb16.1051	25.174035695000004
XVenFeb16.1055	47.385551670999995
XVenFeb16.1059	43.214671409000005
XVenFeb16.1064	7.872872229
XVenFeb16.1068	47.76178780600001
XVenFeb16.107	26.498515684
XVenFeb16.1086	17.350490305
XVenFeb16.1088	31.942383804
XVenFeb16.109	19.186173571999998
XVenFeb16.1090	22.314723743
XVenFeb16.1092	25.529460902999993
XVenFeb16.1094	16.134121481999998
XVenFeb16.1096	25.670097658
XVenFeb16.1098	20.872844213999997
XVenFeb16.111	16.489236173000002
XVenFeb16.113	17.80543165
XVenFeb16.115	11.885425026
XVenFeb16.1165	32.543347454
XVenFeb16.1175	23.854628016
XVenFeb16.1195	24.421305092999997
XVenFeb16.12	19.076128273
