	pielou_e
X15.1	0.8397689215159881
X15.1053	0.7226334815715569
X15.1055	0.3999443063309571
X15.1062	0.7974172873103577
X15.1081	0.6861198692113589
X15.1083	0.7644359229364552
X15.1085	0.8290095620628387
X15.1086	0.8426980520376578
X15.1091	0.7415478467618363
X15.1092	0.7847834587238237
X15.1095	0.8067729124853678
X15.1227	0.8329109885600935
X15.1231	0.8252459801018481
X15.1239	0.8213828756909
X15.1245	0.7300966622589674
X15.1251	0.7473689995902011
X15.1253	0.8332965733587459
X15.1254	0.8275541732055112
X15.1255	0.8056869988405668
X15.1256	0.7862083026755553
X15.1261	0.7842873953475038
X15.1262	0.7570059932004476
X15.1263	0.7432791902816989
X15.1280	0.8238576292745526
X15.1281	0.7722629984761574
X15.15	0.5430187344812518
X15.2	0.8058220422788943
X15.376	0.7899104817538102
X15.487	0.8440818802112513
X15.489	0.8099727030032795
X15.492	0.6438374857114706
X15.515	0.8069501360109311
X15.527	0.8448595571027007
X15.551	0.8372527921568133
X15.696	0.7396450332801787
X15.698	0.8219445525218316
X15.7	0.5482059893012244
X15.794	0.8390098517877262
X15.848	0.758935916541168
X15.85	0.8312808793660205
X15.850	0.8041400786982046
X15.865	0.7618099824007225
X15.909	0.748085004041539
X15.910	0.8314027535527554
X15.920	0.7976574530731003
X15.959	0.8342025733707454
X15.960	0.7998411686777551
XDNA.Neg27	0.8243462717060507
XDNA.Neg4	0.6890229556113101
XPCR.Neg3	0.7249581187636883
XVenFeb16.1007	0.8803251567642297
XVenFeb16.1008	0.5809165750726055
XVenFeb16.101	0.45036399833186475
XVenFeb16.1012	0.6922873429732878
XVenFeb16.1017	0.39118296294296223
XVenFeb16.1021	0.5218819657652308
XVenFeb16.1025	0.4499294684237513
XVenFeb16.1029	0.659625011228057
XVenFeb16.1034	0.3796245002632626
XVenFeb16.1038	0.7228507520562317
XVenFeb16.1043	0.5768570410575545
XVenFeb16.1047	0.38157655843766924
XVenFeb16.105	0.7898977890371086
XVenFeb16.1051	0.3796783326777207
XVenFeb16.1055	0.6647170309560015
XVenFeb16.1059	0.4459444802117254
XVenFeb16.1064	0.49882192702389067
XVenFeb16.1068	0.7439399667081328
XVenFeb16.107	0.6778247736545018
XVenFeb16.1086	0.838096245772448
XVenFeb16.1088	0.7199703120835874
XVenFeb16.109	0.6945683829914533
XVenFeb16.1090	0.8077008095429522
XVenFeb16.1092	0.7724420470645718
XVenFeb16.1094	0.6612324271948916
XVenFeb16.1096	0.7252814600135927
XVenFeb16.1098	0.6790584050596981
XVenFeb16.111	0.6291156381769079
XVenFeb16.113	0.640698305246176
XVenFeb16.115	0.7064881224107785
