	shannon
X15.1	6.431127997611832
X15.1053	5.144385172484942
X15.1055	2.7477632520144657
X15.1062	5.901589203791149
X15.1081	4.670661468797464
X15.1083	5.739227924997663
X15.1085	6.312667273105536
X15.1086	5.758063104724192
X15.1091	5.028702693681675
X15.1092	5.429809421785468
X15.1095	6.050672509513525
X15.1227	6.502831706170511
X15.1231	6.128495135989944
X15.1239	6.484668117481478
X15.1245	5.270690841074432
X15.1251	5.106690174196178
X15.1253	5.340923504400151
X15.1254	5.783515177755756
X15.1255	5.612241834880182
X15.1256	5.300197316921737
X15.1261	6.1282500982749255
X15.1262	5.153208473840172
X15.1263	4.883236956827905
X15.1280	5.542848595644208
X15.1281	5.174501667840379
X15.15	3.432925393567207
X15.2	5.516246773251849
X15.376	5.417191071719695
X15.487	5.595719800467703
X15.489	5.135105443471809
X15.492	4.115613577351504
X15.515	6.174017202823501
X15.527	6.295226919821384
X15.551	6.429666155623617
X15.696	5.523377355614386
X15.698	6.025607192956662
X15.7	3.5500358519739463
X15.794	6.571871889853922
X15.848	5.053155834187162
X15.85	6.377940485144205
X15.850	5.573283668064405
X15.865	5.506986239384681
X15.909	5.422065883187226
X15.910	6.261611284329434
X15.920	5.882755169121874
X15.959	6.30205746082743
X15.960	6.324256614598669
XDNA.Neg27	6.202020248425081
XDNA.Neg4	5.535212860195216
XPCR.Neg3	6.080961231341109
XVenFeb16.1007	6.803082785624846
XVenFeb16.1008	4.123364487388902
XVenFeb16.101	3.3883414442273416
XVenFeb16.1012	5.584051453847568
XVenFeb16.1017	2.3558476850327983
XVenFeb16.1021	3.9505711254347124
XVenFeb16.1025	2.6243891034473497
XVenFeb16.1029	4.515456451715736
XVenFeb16.1034	1.6674313066200086
XVenFeb16.1038	5.520139850131112
XVenFeb16.1043	4.492506426455097
XVenFeb16.1047	2.4258928140106737
XVenFeb16.105	6.349924335890418
XVenFeb16.1051	2.762586782550195
XVenFeb16.1055	5.410498408280434
XVenFeb16.1059	3.5471299391374993
XVenFeb16.1064	2.39801404610856
XVenFeb16.1068	6.184285869002848
XVenFeb16.107	5.300711035136772
XVenFeb16.1086	5.90388026517583
XVenFeb16.1088	6.020351268401573
XVenFeb16.109	4.915332365972292
XVenFeb16.1090	6.132433695421513
XVenFeb16.1092	5.793196309687361
XVenFeb16.1094	4.6211449383341305
XVenFeb16.1096	5.5543588053030835
XVenFeb16.1098	4.9472136109589835
XVenFeb16.111	4.478637156110251
XVenFeb16.113	4.534103759570173
XVenFeb16.115	4.4915349788715115
XVenFeb16.1165	4.463868942247055
XVenFeb16.1175	5.53093949170014
XVenFeb16.1195	3.532191797892026
XVenFeb16.12	5.417499855794003
XVenFeb16.121	5.4429932607387785
XVenFeb16.123	4.823669717744908
