	observed_otus
X15.1	202
X15.1053	139
X15.1055	117
X15.1062	169
X15.1081	112
X15.1083	182
X15.1085	196
X15.1086	114
X15.1091	110
X15.1092	121
X15.1095	181
X15.1227	224
X15.1231	172
X15.1239	238
X15.1245	149
X15.1251	114
X15.1253	85
X15.1254	127
X15.1255	125
X15.1256	107
X15.1261	225
X15.1262	112
X15.1263	95
X15.1280	106
X15.1281	104
X15.15	80
X15.2	115
X15.376	116
X15.487	99
X15.489	81
X15.492	84
X15.515	201
X15.527	175
X15.551	205
X15.696	177
X15.698	161
X15.7	89
X15.794	228
X15.848	101
X15.85	204
X15.850	122
X15.865	150
X15.909	152
X15.910	185
X15.920	166
X15.959	188
X15.960	240
XDNA.Neg27	184
XDNA.Neg4	262
XPCR.Neg3	335
XVenFeb16.1007	212
XVenFeb16.1008	137
XVenFeb16.101	184
XVenFeb16.1012	268
XVenFeb16.1017	65
XVenFeb16.1021	190
XVenFeb16.1025	57
XVenFeb16.1029	115
XVenFeb16.1034	21
XVenFeb16.1038	199
XVenFeb16.1043	221
XVenFeb16.1047	82
XVenFeb16.105	263
XVenFeb16.1051	155
XVenFeb16.1055	282
XVenFeb16.1059	248
XVenFeb16.1064	28
XVenFeb16.1068	318
XVenFeb16.107	226
XVenFeb16.1086	132
XVenFeb16.1088	329
XVenFeb16.109	135
XVenFeb16.1090	193
XVenFeb16.1092	181
XVenFeb16.1094	127
XVenFeb16.1096	202
XVenFeb16.1098	156
XVenFeb16.111	139
XVenFeb16.113	135
XVenFeb16.115	82
XVenFeb16.1165	181
XVenFeb16.1175	236
XVenFeb16.1195	127
XVenFeb16.12	145
XVenFeb16.121	211
XVenFeb16.123	129
XVenFeb16.125	261
XVenFeb16.127	152
XVenFeb16.1270	193
XVenFeb16.1276	187
XVenFeb16.1282	151
XVenFeb16.1288	159
XVenFeb16.129	121
XVenFeb16.1290	238
XVenFeb16.1292	107
XVenFeb16.1296	26
XVenFeb16.1302	102
XVenFeb16.1306	100
XVenFeb16.131	85
XVenFeb16.1310	58
XVenFeb16.1318	31
XVenFeb16.1322	32
XVenFeb16.1326	34
XVenFeb16.133	137
XVenFeb16.1330	34
XVenFeb16.1334	108
XVenFeb16.1338	61
XVenFeb16.1342	192
XVenFeb16.1346	112
XVenFeb16.135	141
XVenFeb16.1350	23
XVenFeb16.1354	64
XVenFeb16.1358	14
XVenFeb16.1362	22
XVenFeb16.1366	89
XVenFeb16.137	115
XVenFeb16.141	56
XVenFeb16.143	135
XVenFeb16.145	242
XVenFeb16.147	149
XVenFeb16.149	200
XVenFeb16.157	57
XVenFeb16.1601	223
XVenFeb16.1602	152
XVenFeb16.1603	255
XVenFeb16.1604	197
XVenFeb16.1605	281
XVenFeb16.1606	325
XVenFeb16.1607	168
XVenFeb16.1609	251
XVenFeb16.161	11
XVenFeb16.1611	113
XVenFeb16.1612	109
XVenFeb16.1613	189
XVenFeb16.1614	260
XVenFeb16.1616	204
XVenFeb16.1618	222
XVenFeb16.1620	210
XVenFeb16.1622	241
XVenFeb16.1624	170
XVenFeb16.1626	258
XVenFeb16.1627	60
XVenFeb16.1628	227
XVenFeb16.1629	231
XVenFeb16.1631	162
XVenFeb16.1632	199
XVenFeb16.1634	72
XVenFeb16.1635	196
XVenFeb16.1637	238
XVenFeb16.1639	212
XVenFeb16.1641	157
XVenFeb16.1643	145
XVenFeb16.1644	148
XVenFeb16.1646	109
XVenFeb16.1647	161
XVenFeb16.1649	139
XVenFeb16.1651	176
XVenFeb16.1653	398
XVenFeb16.1654	150
XVenFeb16.1656	196
XVenFeb16.1658	140
XVenFeb16.1660	52
XVenFeb16.1662	311
XVenFeb16.1664	153
XVenFeb16.1665	257
XVenFeb16.1666	179
XVenFeb16.1668	264
XVenFeb16.1669	189
XVenFeb16.1671	211
XVenFeb16.1673	137
XVenFeb16.1675	77
XVenFeb16.1677	128
XVenFeb16.1678	218
XVenFeb16.1680	231
XVenFeb16.1688	143
XVenFeb16.169	77
XVenFeb16.1694	131
XVenFeb16.1700	159
XVenFeb16.1701	160
XVenFeb16.1702	237
XVenFeb16.1703	191
XVenFeb16.1704	167
XVenFeb16.1705	150
XVenFeb16.1707	208
XVenFeb16.1708	232
XVenFeb16.1710	234
XVenFeb16.1712	216
XVenFeb16.1713	210
XVenFeb16.1715	242
XVenFeb16.1717	154
XVenFeb16.1719	132
XVenFeb16.1721	291
XVenFeb16.1723	151
XVenFeb16.1724	179
XVenFeb16.1726	155
XVenFeb16.1728	280
XVenFeb16.173	44
XVenFeb16.1730	252
XVenFeb16.1732	160
XVenFeb16.1734	165
XVenFeb16.1736	266
XVenFeb16.1737	283
XVenFeb16.1739	47
XVenFeb16.1740	294
XVenFeb16.1742	267
XVenFeb16.1744	256
XVenFeb16.1746	170
XVenFeb16.1748	149
XVenFeb16.1750	258
XVenFeb16.1752	283
XVenFeb16.1754	223
XVenFeb16.1756	154
XVenFeb16.1757	141
XVenFeb16.1759	251
XVenFeb16.1761	142
XVenFeb16.1763	165
XVenFeb16.1765	249
XVenFeb16.1767	269
XVenFeb16.1769	252
XVenFeb16.177	27
XVenFeb16.1771	216
XVenFeb16.1773	210
XVenFeb16.1777	196
XVenFeb16.1779	122
XVenFeb16.1781	153
XVenFeb16.1783	181
XVenFeb16.1785	294
XVenFeb16.1787	113
XVenFeb16.1789	227
XVenFeb16.1791	234
XVenFeb16.1793	275
XVenFeb16.1795	277
XVenFeb16.1797	285
XVenFeb16.1799	189
XVenFeb16.18	214
XVenFeb16.189	32
XVenFeb16.193	37
XVenFeb16.201	42
XVenFeb16.205	119
XVenFeb16.209	21
XVenFeb16.221	51
XVenFeb16.225	8
XVenFeb16.237	79
XVenFeb16.241	79
XVenFeb16.245	116
XVenFeb16.25	208
XVenFeb16.253	155
XVenFeb16.255	157
XVenFeb16.257	183
XVenFeb16.259	306
XVenFeb16.266	132
XVenFeb16.267	285
XVenFeb16.269	144
XVenFeb16.271	181
XVenFeb16.273	194
XVenFeb16.275	236
XVenFeb16.277	157
XVenFeb16.281	205
XVenFeb16.283	114
XVenFeb16.285	216
XVenFeb16.287	23
XVenFeb16.289	120
XVenFeb16.293	98
XVenFeb16.295	120
XVenFeb16.297	260
XVenFeb16.299	105
XVenFeb16.301	229
XVenFeb16.303	139
XVenFeb16.305	191
XVenFeb16.307	122
XVenFeb16.309	75
XVenFeb16.311	184
XVenFeb16.313	34
XVenFeb16.315	119
XVenFeb16.32	203
XVenFeb16.322	134
XVenFeb16.323	90
XVenFeb16.328	216
XVenFeb16.333	107
XVenFeb16.337	71
XVenFeb16.342	100
XVenFeb16.346	58
XVenFeb16.350	17
XVenFeb16.354	97
XVenFeb16.358	20
XVenFeb16.362	23
XVenFeb16.366	64
XVenFeb16.374	62
XVenFeb16.38	212
XVenFeb16.382	233
XVenFeb16.384	132
XVenFeb16.392	170
XVenFeb16.40	98
XVenFeb16.400	190
XVenFeb16.417	39
XVenFeb16.421	130
XVenFeb16.425	105
XVenFeb16.429	80
XVenFeb16.433	23
XVenFeb16.437	22
XVenFeb16.441	19
XVenFeb16.457	18
XVenFeb16.477	105
XVenFeb16.485	111
XVenFeb16.489	83
XVenFeb16.493	84
XVenFeb16.497	17
XVenFeb16.505	281
XVenFeb16.509	236
XVenFeb16.511	166
XVenFeb16.513	146
XVenFeb16.515	221
XVenFeb16.519	287
XVenFeb16.525	207
XVenFeb16.527	193
XVenFeb16.529	175
XVenFeb16.533	150
XVenFeb16.535	232
XVenFeb16.537	144
XVenFeb16.539	207
XVenFeb16.541	258
XVenFeb16.544	255
XVenFeb16.546	109
XVenFeb16.55	243
XVenFeb16.552	250
XVenFeb16.556	53
XVenFeb16.564	40
XVenFeb16.568	15
XVenFeb16.572	127
XVenFeb16.584	70
XVenFeb16.588	40
XVenFeb16.592	38
XVenFeb16.596	182
XVenFeb16.6	182
XVenFeb16.60	21
XVenFeb16.604	34
XVenFeb16.616	286
XVenFeb16.617	199
XVenFeb16.621	282
XVenFeb16.622	294
XVenFeb16.623	208
XVenFeb16.624	177
XVenFeb16.626	177
XVenFeb16.627	185
XVenFeb16.628	147
XVenFeb16.637	15
XVenFeb16.64	74
XVenFeb16.646	140
XVenFeb16.663	136
XVenFeb16.675	190
XVenFeb16.679	187
XVenFeb16.701	122
XVenFeb16.705	138
XVenFeb16.710	216
XVenFeb16.714	10
XVenFeb16.718	54
XVenFeb16.730	90
XVenFeb16.734	36
XVenFeb16.738	30
XVenFeb16.746	238
XVenFeb16.750	102
XVenFeb16.755	144
XVenFeb16.759	142
XVenFeb16.763	77
XVenFeb16.767	120
XVenFeb16.77	43
XVenFeb16.771	162
XVenFeb16.775	204
XVenFeb16.779	166
XVenFeb16.783	21
XVenFeb16.787	121
XVenFeb16.791	36
XVenFeb16.795	142
XVenFeb16.799	105
XVenFeb16.803	350
XVenFeb16.81	110
XVenFeb16.811	111
XVenFeb16.815	73
XVenFeb16.819	32
XVenFeb16.823	29
XVenFeb16.827	358
XVenFeb16.832	114
XVenFeb16.836	76
XVenFeb16.840	49
XVenFeb16.844	40
XVenFeb16.848	144
XVenFeb16.852	113
XVenFeb16.857	32
XVenFeb16.861	48
XVenFeb16.865	50
XVenFeb16.873	24
XVenFeb16.877	134
XVenFeb16.881	86
XVenFeb16.886	8
XVenFeb16.89	65
XVenFeb16.890	123
XVenFeb16.898	108
XVenFeb16.97	152
X15.1057	31
X15.1058	56
X15.1064	177
X15.1065	121
X15.1229	19
X15.1230	39
X15.1235	50
X15.1236	51
X15.1247	125
X15.1248	104
X15.1257	37
X15.1258	121
X15.1265	109
X15.1266	84
X15.1273	101
X15.1274	66
X15.150	45
X15.151	35
X15.17	154
X15.18	78
X15.22	108
X15.23	74
X15.28	201
X15.29	68
X15.441	63
X15.442	87
X15.494	57
X15.495	39
X15.501	32
X15.502	73
X15.573	22
X15.574	41
X15.577	93
X15.578	34
X15.591	113
X15.592	127
X15.692	105
X15.693	48
X15.852	78
X15.853	65
X15.856	100
X15.857	47
X15.860	115
X15.861	65
X15.901	140
X15.902	99
X15.905	37
X15.906	70
X15.921	26
X15.922	56
XVenFeb16.100	533
XVenFeb16.1001	27
XVenFeb16.1013	107
XVenFeb16.102	90
XVenFeb16.1022	58
XVenFeb16.1026	22
XVenFeb16.103	254
XVenFeb16.1030	159
XVenFeb16.1035	60
XVenFeb16.1039	52
XVenFeb16.104	309
XVenFeb16.1044	121
XVenFeb16.1048	153
XVenFeb16.1056	65
XVenFeb16.1060	130
XVenFeb16.1065	29
XVenFeb16.1069	45
XVenFeb16.1075	114
XVenFeb16.1076	40
XVenFeb16.1082	67
XVenFeb16.1083	40
XVenFeb16.1166	115
XVenFeb16.1194	61
XVenFeb16.1264	25
XVenFeb16.1265	60
XVenFeb16.1271	28
XVenFeb16.1272	46
XVenFeb16.1279	138
XVenFeb16.1284	39
XVenFeb16.1285	51
XVenFeb16.1297	25
XVenFeb16.1311	100
XVenFeb16.1315	70
XVenFeb16.1319	83
XVenFeb16.1327	75
XVenFeb16.1331	128
XVenFeb16.1335	67
XVenFeb16.1343	97
XVenFeb16.1347	33
XVenFeb16.1351	23
XVenFeb16.1355	86
XVenFeb16.1359	54
XVenFeb16.1363	87
XVenFeb16.1367	66
XVenFeb16.1374	43
XVenFeb16.1375	126
XVenFeb16.1378	25
XVenFeb16.1379	103
XVenFeb16.1382	57
XVenFeb16.1383	127
XVenFeb16.1386	174
XVenFeb16.1387	33
XVenFeb16.1394	238
XVenFeb16.1395	124
XVenFeb16.1398	75
XVenFeb16.1399	168
XVenFeb16.14	84
XVenFeb16.1402	46
XVenFeb16.1403	183
XVenFeb16.15	45
XVenFeb16.154	74
XVenFeb16.155	542
XVenFeb16.156	625
XVenFeb16.160	497
XVenFeb16.162	55
XVenFeb16.163	668
XVenFeb16.164	549
XVenFeb16.166	82
XVenFeb16.167	561
XVenFeb16.168	513
