Metadata	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Coprococcus 1	Medium	-0.000179003195139224	154	119	2.01400277090215e-05	0.0114850037163471
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Ruminococcaceae|D_5_	Medium	-0.000702209512603855	154	134	2.08628587036279e-05	0.0114850037163471
Urban	D_0_Bacteria|D_1_Tenericutes|D_2_Mollicutes|D_3_Mollicutes RF39|D_4_|D_5_	Medium	-0.00119526466987934	154	124	5.46939605841261e-05	0.0200726835343743
Urban	D_0_Bacteria|D_1_Tenericutes|D_2_Mollicutes|D_3_Mollicutes RF39|D_4_uncultured prokaryote|D_5_uncultured prokaryote	Medium	-0.000192025210603451	154	52	8.25903837652352e-05	0.022733003131381
Age_grp	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_Prevotellaceae|D_5_Prevotella 2	Children	0.00443970019861097	154	150	0.000143801434974745	0.0316650759814389
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Family XIII|D_5_Family XIII UCG-001	Medium	-7.21779629194214e-05	154	66	0.000262662558880932	0.0481985795546511
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Clostridiales vadinBB60 group|D_5_uncultured bacterium	Medium	-0.00188315508568632	154	140	0.000388869859731734	0.0611636736520913
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_CAG-56	Medium	0.000136038062135179	154	45	0.000722161791865152	0.0743909657810912
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Ruminococcaceae|D_5_Ruminococcaceae UCG-010	Medium	-0.00309899842567756	154	140	0.000770174636082921	0.0743909657810912
Age_grp	D_0_Bacteria|D_1_Lentisphaerae|D_2_Lentisphaeria|D_3_Victivallales|D_4_Victivallaceae|D_5_	Children	-3.191677820048e-05	154	14	0.000810800716960122	0.0743909657810912
Urban	D_0_Bacteria|D_1_Tenericutes|D_2_Mollicutes|D_3_Mollicutes RF39|D_4_uncultured bacterium|D_5_uncultured bacterium	Medium	-0.00119967989089839	154	131	0.000654347946399521	0.0743909657810912
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales	Medium	-0.0183317725412542	154	154	0.000698288851768995	0.0743909657810912
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Agathobacter	Medium	-0.00168742109221186	154	105	0.00117679972526398	0.0762150880891554
Age_grp	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Ruminococcaceae|D_5_Faecalibacterium	Children	0.00483768312677805	154	154	0.00110485026982509	0.0762150880891554
Urban	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Ruminococcaceae|D_5_Ruminococcaceae UCG-013	Medium	-0.000448845535161005	154	110	0.00117586310755145	0.0762150880891554
